id,LoCC,h_avg,Uniq(Nw),Nw,mode,dl,title
11,"PR,PZ",5.99,"3,973","27,386",SV5,"17,366",Alice’s Adventures in Wonderland
84,PR,5.89,"9,691","77,680",-SV3,"11,699","Frankenstein; Or, The Modern Pro..."
74,"PZ,PS",5.76,"11,094","73,265",SV4,"9,454",The Adventures of Tom Sawyer
844,PR,6.15,"3,612","23,161",SV1,"9,373",The Importance of Being Earnest:...
174,PR,5.96,"9,588","84,591",-SV1,"7,652",The Picture of Dorian Gray
16,"PZ,PR",5.89,"6,747","48,189",SV4,"5,789",Peter Pan
16328,PR,5.64,"9,351","44,949",-SV1,"5,359",Beowulf : An Anglo-Saxon Epic Poem
42,PR,5.63,"5,300","26,085",-SV1,"4,908",The Strange Case of Dr. Jekyll a...
2814,PR,6.11,"9,844","68,963",SV2,"4,742",Dubliners
46,PR,6.08,"5,734","29,192",-SV2,"4,602",A Christmas Carol in Prose; Bein...
244,PR,5.83,"7,743","44,537",-SV3,"4,535",A Study in Scarlet
120,"PZ,PR",5.89,"8,867","70,261",SV3,"4,402",Treasure Island
526,PR,5.77,"7,683","38,504",-SV1,"4,362",Heart of Darkness
35,PR,5.87,"6,171","32,622",-SV1,"3,732",The Time Machine
3825,PR,6.08,"5,864","34,898",-SV1,"3,580",Pygmalion
236,PR,5.70,"6,967","52,449",SV1,"3,478",The Jungle Book
2852,PR,5.90,"7,655","60,070",-SV1,"3,358",The Hound of the Baskervilles
219,PR,5.76,"7,662","38,464",-SV1,"3,243",Heart of Darkness
863,PR,5.83,"7,725","57,720",-SV3,"3,112",The Mysterious A↵air at Styles
33,PS,6.03,"12,462","87,213",SV5,"3,045",The Scarlet Letter
55,"PZ,PS",6.10,"4,217","40,939",SV2,"3,035",The Wonderful Wizard of Oz
4517,PS,5.94,"5,854","35,704",SV4,"2,895",Ethan Frome
12,"PZ,PR",5.98,"4,474","30,775",SV2,"2,892",Through the Looking-Glass
28520,PR,6.25,"4,726","32,669",-SV1,"2,716",Forbidden Fruit: Luscious and exc...
105,PR,6.20,"8,279","86,532",-SV7,"2,535",Persuasion
20,PR,5.61,"15,388","91,206",-SV2,"2,522",Paradise Lost
62,PS,5.90,"8,731","68,970",-SV2,"2,515",A Princess of Mars
36,PR,5.67,"9,447","62,729",-SV3,"2,496",The War of the Worlds
215,PS,5.68,"6,245","32,356",SV1,"2,439",The Call of the Wild
121,PR,6.16,"8,806","77,944",SV4,"2,355",Northanger Abbey
1524,PR,5.95,"7,281","34,265",-SV1,"2,329","Hamlet, Prince of Denmark"
2097,PR,5.85,"7,226","45,443",-SV3,"2,283",The Sign of the Four
25305,PR,6.13,"10,715","85,189",-SV5,"2,222",Memoirs Of Fanny Hill: A New and ...
209,PS,5.84,"6,642","42,852",-SV3,"2,175",The Turn of the Screw
4217,PR,5.87,"12,486","86,019",-SV4,"2,172",A Portrait of the Artist as a Yo...
834,PR,5.88,"10,013","88,841",SV2,"2,164",The Memoirs of Sherlock Holmes
779,PR,5.86,"5,471","22,025",SV1,"2,133",The Tragical History of Doctor F...
1155,PR,5.90,"10,087","77,875",-SV1,"2,070",The Secret Adversary
308,PR,5.99,"9,679","69,574",-SV2,"2,059",Three Men in a Boat
696,PR,5.92,"6,274","37,999",SV3,"1,663",The Castle of Otranto
8492,PS,5.83,"11,488","72,731",SV4,"1,504",The King in Yellow
5131,PR,5.72,"9,379","42,394",-SV2,"1,481",Childe Harold’s Pilgrimage
289,"PR,PZ",6.05,"9,353","60,301",-SV3,"1,475",The Wind in the Willows
10007,PR,6.02,"5,418","28,220",-SV3,"1,416",Carmilla
1837,PS,5.78,"12,043","72,781",SV2,"1,389",The Prince and the Pauper
35997,PR,5.71,"7,495","53,872",SV1,"1,370",The Jungle Book
2641,PR,6.03,"9,948","67,923",SV6,"1,354",A Room with a View
8164,PR,6.11,"7,061","52,792",-SV1,"1,317",My Man Jeeves
885,PR,6.11,"4,773","34,378",SV1,"1,303",An Ideal Husband
447,PS,5.61,"5,347","24,520",SV2,"1,295",Maggie: A Girl of the Streets
139,PR,5.85,"10,986","79,892",-SV1,"1,274",The Lost World
78,PS,5.76,"10,347","87,882",SV1,"1,272",Tarzan of the Apes
972,PS,5.73,"15,417","65,791",-SV2,"1,257",The Devil’s Dictionary
3289,PR,5.79,"7,929","58,672",-SV2,"1,228",The Valley of Fear
910,PS,5.69,"9,199","76,867",SV4,"1,178",White Fang
73,PS,5.43,"8,135","49,153",-SV3,"1,163",The Red Badge of Courage: An Epi...
113,"PS,PZ",6.12,"7,267","85,604",SV2,"1,153",The Secret Garden
974,PR,5.86,"12,480","95,448",SV6,"1,142",The Secret Agent: A Simple Tale
102,PS,5.90,"9,160","54,631",-SV1,"1,140",The Tragedy of Pudd’nhead Wilson
421,"PR,PZ",5.82,"9,400","83,335",SV2,"1,132",Kidnapped
131,PR,5.83,"7,033","60,264",-SV2,"1,126",The Pilgrim’s Progress from this...
805,PS,6.05,"14,149","84,291",-SV1,"1,122",This Side of Paradise
208,PS,6.26,"3,863","21,859",-SV1,"1,101",Daisy Miller: A Study
28522,PR,6.24,"4,226","32,282",-SV2,"1,097",Laura Middleton; Her Brother and...
159,PR,5.72,"7,386","45,521",-SV1,"1,083",The Island of Doctor Moreau
26654,"PZ,PR",5.90,"6,753","48,096",-SV2,"1,068",Peter and Wendy
2265,PR,5.72,"6,829","31,656",-SV1,"1,051",Hamlet
28885,"PR,PZ",6.00,"4,283","28,410",SV5,"1,051",Alice’s Adventures in Wonderland...
32,PS,6.31,"8,783","52,978",-SV3,"1,013",Herland
5230,PR,5.73,"8,320","49,621",SV2,"1,011",The Invisible Man: A Grotesque R...
558,PR,5.95,"7,052","43,658",-SV1,989,The Thirty-Nine Steps
15272,PR,5.70,"16,466","81,519",-SV7,978,"Spenser’s The Faerie Queene, Book I"
383,PR,6.13,"4,286","25,517",-SV3,903,"She Stoops to Conquer; Or, The M..."
10554,PR,6.00,"10,348","75,766",-SV3,896,"Right Ho, Jeeves"
946,PR,6.23,"3,870","23,259",-SV1,894,Lady Susan
500,"PQ,PZ",5.82,"5,110","40,459",SV1,863,The Adventures of Pinocchio
242,PS,6.24,"10,229","83,178",SV4,847,My Antonia
1041,PR,5.90,"4,357","20,305",-SV1,831,Shakespeare’s Sonnets
51,PZ,6.11,"10,730","79,609",SV2,826,Anne of the Island
146,"PS,PZ",5.93,"7,440","69,446",SV4,825,A Little Princess : Being the who...
389,PR,5.82,"4,281","22,637",-SV3,807,The Great God Pan
269,PR,6.08,"11,011","64,396",SV1,804,Beasts and Super-Beasts
47,PZ,6.16,"10,297","92,180",SV4,803,Anne of Avonlea
204,PR,5.82,"10,947","80,292",-SV4,800,The Innocence of Father Brown
1695,PR,5.75,"8,704","58,887",SV4,796,The Man Who Was Thursday: A Nigh...
2166,PR,5.73,"10,303","83,364",SV3,788,King Solomon’s Mines
41445,PR,5.90,"9,449","73,078",-SV3,786,"Frankenstein; Or, The Modern Pro..."
271,"PZ,PR",5.89,"5,793","61,002",SV5,780,Black Beauty
550,PR,6.09,"9,619","75,026",SV1,780,Silas Marner
1097,PR,6.12,"6,435","35,689",-SV2,780,Mrs. Warren’s Profession
2267,PR,5.87,"5,856","29,535",-SV1,760,Othello
4081,PR,6.00,"12,897","54,042",-SV1,744,The Alchemist
26,PR,5.79,"14,098","81,693",-SV4,730,Paradise Lost
854,PR,6.14,"3,636","24,756",-SV2,729,A Woman of No Importance
981,PR,5.52,"5,645","27,044",-SV1,718,Beowulf
17396,"PZ,PS",6.11,"7,399","83,089",SV2,716,The Secret Garden
60,PR,5.93,"10,611","85,417",-SV1,710,The Scarlet Pimpernel
